Наименование олимпиады;№ в перечне;Профиль;Предмет;Уровень;Класс;Ссылка на сайт
Всероссийская олимпиада школьников «Высшая проба»;8;информатика, инженерные науки;Межпредметная;1;9–11 классы;https://olymp.hse.ru/mmo/it
Вузовско-академическая олимпиада по информатике;15;информатика;информатика;1;7–11 классы;https://sp.urfu.ru/vuzakadem/inform/2023/
Международная олимпиада по финансовой безопасности;24;финансовая безопасность;Межпредметная;1;8–11 классы;https://rosfinolymp.ru/
Межрегиональная олимпиада школьников имени И.Я. Верченко;32;компьютерная безопасность;информационная безопасность;1;8–11 классы;https://ikb.mtuci.ru/
Московская олимпиада школьников;37;Многопрофильная;Межпредметная;1;6–11 классы;http://mos-inf.olimpiada.ru
Олимпиада школьников по информатике и программированию;54;информатика;информатика;1;11 класс;http://neerc.ifmo.ru/school/ioip/index.html
Олимпиада школьников Санкт-Петербургского государственного университета;58;информатика;информатика;1;7–11 классы;https://olympiada.spbu.ru/predmety/10-predmety/8-informatika.html
Открытая олимпиада школьников;62;информатика;информатика;1;5–11 классы;https://olymp.itmo.ru/
Открытая олимпиада школьников по программированию;63;информатика;информатика;1;5–11 классы;https://olympiads.ru/zaoch/
Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»;6;Многопрофильная;Межпредметная;2;5–11 классы;https://ntcontest.ru/
Всесибирская открытая олимпиада школьников;14;информатика;информатика;2;7–11 классы;https://sesc.nsu.ru/olymp-vsesib/sections/informatics/
Международная олимпиада «Innopolis Open»;23;Многопрофильная;информатика;2;7–11 классы;https://dovuz.innopolis.university/io-informatika/
Олимпиада школьников «Ломоносов»;48;Многопрофильная;Межпредметная;2;7–11 классы;http://olymp.msu.ru/
Олимпиада школьников «Шаг в будущее»;53;Многопрофильная;Межпредметная;2;8–11 классы;https://olymp.bmstu.ru/engeneering-olymp
Олимпиада школьников по программированию «ТехноКубок»;55;информатика;информатика;2;8–11 классы;https://technocup.mail.ru/
Открытая олимпиада школьников по программированию «Когнитивные технологии»;64;информатика;информатика;2;7–11 классы;http://olymp.misis.ru/
Отраслевая олимпиада школьников «Газпром»;67;информатика;информатика;2;9–11 классы;https://olympiad.gazprom.ru/
Международная олимпиада школьников Уральского федерального университета «Изумруд»;26;информатика;информатика;3;8–11 классы;http://izumrud.urfu.ru/
Многопрофильная инженерная олимпиада «Звезда»;36;техника и технологии;Межпредметная;3;7–11 классы;http://www.zv.susu.ru/
Олимпиада школьников «Гранит науки»;47;информатика;информатика;3;9–11 классы;http://ogn.spmi.ru/
Университетская олимпиада школьников «Бельчонок»;79;информатика;информатика;3;2–11 классы;http://dovuz.sfu-kras.ru/belchonok/
