Наименование олимпиады;№ в перечне;Профиль;Предмет;Уровень;Класс
Всероссийская олимпиада школьников «Высшая проба»;8;Многопрофильная;Межпредметная;1;8–11 классы
Всероссийская экономическая олимпиада школьников имени Н.Д. Кондратьева;12;экономика;экономика;1;8–11 классы
Международная олимпиада по финансовой безопасности;24;финансовая безопасность;Межпредметная;1;8–11 классы
Московская олимпиада школьников;37;Многопрофильная;экономика;2;8–11 классы
Олимпиада школьников по экономике в рамках международного экономического фестиваля школьников «Сибириада. Шаг в мечту»;56;экономика;экономика;2;8–11 классы
Олимпиада школьников Санкт-Петербургского государственного университета;58;экономика;экономика;2;8–11 классы
«Финатлон для старшеклассников» - Всероссийская олимпиада по финансовой грамотности, финансовому рынку и защите прав потребителей финансовых услуг;1;финансовая грамотность;экономика;3;8–11 классы
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание - финансист!»;9;экономика;экономика;3;8–11 классы
Многопрофильная инженерная олимпиада «Звезда»;36;техника и технологии;Межпредметная;3;8–11 классы
Олимпиада школьников «Ломоносов»;48;предпринимательство;менеджмент;3;8–11 классы
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации;57;Многопрофильная;экономика;3;8–11 классы
Плехановская олимпиада школьников;69;Многопрофильная;экономика;3;8–11 классы
